Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Harry Maguire,eng ENG,DF,26,52.8,0.13,0,0,0.89,0.68,0.13,0.06,1.84,0.85,0,0,0.02,525,4.15,1.42,74.5,Matches
Victor Lindelöf,se SWE,DF,25,44.1,0.14,0,0,0.57,0.16,0,0.05,0.84,0.45,0,0,0.02,431,2.24,1.11,66.9,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,43,0.21,0,0,0.63,0.49,0.02,2.79,1.77,1.81,0,0.02,0,325,0.7,0.65,51.7,Matches
David de Gea,es ESP,GK,28,42,0.05,0,0,0,0.17,0,0,0,0,0,0,0,146,0,0,,Matches
Fred,br BRA,MF,26,38,0.32,0,0,1.66,1.55,0.03,2.11,1.55,2.03,0,0,0,400,0.26,0.53,33.3,Matches
Anthony Martial,fr FRA,FW,23,37.1,0.03,0,0,1,1.4,0.51,0.35,0.13,0.32,0.03,0,0,87,0.62,1.78,25.8,Matches
Marcus Rashford,eng ENG,FW,21,36.2,0.08,0,0,0.77,1.52,0.5,0.94,0.36,0.25,0.11,0,0,153,0.61,1.35,31,Matches
Daniel James,wal WAL,FW,21,33.6,0.12,0,0,0.51,2.08,0.18,3.63,0.33,0.54,0.03,0,0,166,0.27,0.77,25.7,Matches
Luke Shaw,eng ENG,DF,24,28,0.32,0,0,1.11,0.79,0.18,1.96,1.21,1.14,0,0,0,258,1.25,0.89,58.3,Matches
Nemanja Mati?,rs SRB,MF,30,27.9,0.18,0.04,0.04,1.25,0.82,0,0.14,1.47,1.11,0,0,0,279,1.22,0.65,65.4,Matches
Scott McTominay,sco SCO,MF,22,27.2,0.15,0,0,1.76,2.76,0,0.59,1.91,1.76,0.04,0,0,291,1.88,1.25,60,Matches
Mason Greenwood,eng ENG,FW,17,27.2,0,0,0,0.74,0.66,0.33,0.55,0.44,0.74,0.04,0,0,96,0.33,0.66,33.3,Matches
Andreas Pereira,br BRA,"FW,MF",23,25.5,0.16,0,0,1.45,1.06,0.16,3.8,0.59,0.9,0,0,0.04,131,0.55,1.18,31.8,Matches
Brandon Williams,eng ENG,DF,18,25.2,0.36,0,0,1.15,1.27,0.08,0.91,1.39,0.6,0.08,0,0,153,0.83,0.6,58.3,Matches
Juan Mata,es ESP,"MF,FW",31,21.6,0.05,0,0,0.46,0.93,0.37,2.69,0.09,0.46,0,0,0,91,0.14,0.37,27.3,Matches
Jesse Lingard,eng ENG,"MF,FW",26,21,0.24,0,0,2.24,1,0.05,0.76,0.14,1.19,0,0,0,88,0.1,0.57,14.3,Matches
Bruno Fernandes,pt POR,MF,24,17.9,0.17,0,0,0.78,1.01,0.11,5.92,0.61,0.95,0.11,0,0,110,0.11,0.61,15.4,Matches
Sergio Romero,ar ARG,GK,32,16.7,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,,Matches
Paul Pogba,fr FRA,MF,26,15.9,0.13,0,0,2.01,1.38,0.19,0.69,0.5,1.26,0.13,0.06,0,172,1.7,0.69,71.1,Matches
Ashley Young,eng ENG,DF,34,14.6,0.55,0,0,1.44,1.37,0,5.07,1.03,0.62,0,0,0,109,1.16,0.68,63,Matches
Marcos Rojo,ar ARG,DF,29,7.5,0.13,0,0,0.67,0.4,0,1.33,0.8,0.53,0,0,0,47,2,0.53,78.9,Matches
Eric Bailly,ci CIV,DF,25,7.2,0.14,0,0,0.69,0.28,0,0,1.39,0.56,0,0.14,0,55,2.78,0.69,80,Matches
Axel Tuanzebe,eng ENG,DF,21,7.1,0,0,0,0.99,1.41,0,0.14,1.41,0.99,0,0,0,61,2.11,1.97,51.7,Matches
Odion Ighalo,ng NGA,FW,30,6.8,0,0,0,0.59,1.18,0.88,0,0.15,0.44,0,0,0,22,0,0.88,0,Matches
Diogo Dalot,pt POR,DF,20,6.4,0.16,0,0,0.78,0.31,0,4.69,1.88,1.41,0,0,0,30,1.56,0.31,83.3,Matches
Phil Jones,eng ENG,DF,27,6.3,0.32,0,0,0.95,0.63,0,0.16,2.06,1.43,0,0,0,38,3.17,1.27,71.4,Matches
Tahith Chong,nl NED,FW,19,5.2,0,0,0,1.15,3.27,0,1.54,0,0.38,0,0,0,16,0.38,1.54,20,Matches
James Garner,eng ENG,MF,18,3.5,0,0,0,1.43,1.71,0,0,2,0.86,0,0,0,33,0.57,0.57,50,Matches
Angel Gomes,eng ENG,"FW,MF",18,3.3,0,0,0,1.82,1.82,0,5.15,0.3,1.21,0,0,0,20,0.61,0.91,40,Matches
Timothy Fosu-Mensah,nl NED,DF,21,2.6,0.38,0,0,2.31,0.77,0.38,1.15,1.92,1.15,0,0,0,20,0.77,1.54,33.3,Matches
Ethan Laird,eng ENG,DF,18,1.3,0.77,0,0,2.31,0.77,0,0.77,0.77,2.31,0,0,0,9,0.77,0,100,Matches
Dylan Levitt,wal WAL,MF,18,1,1,0,0,1,0,0,0,1,1,0,0,0,8,0,0,,Matches
Lee Grant,eng ENG,GK,36,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Di'Shon Bernard,eng ENG,DF,18,1,0,0,0,0,0,0,0,2,0,0,0,1,7,1,3,25,Matches
D'Mani Bughail-Mellor,eng ENG,FW,18,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Largie Ramazani,be BEL,MF,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,Matches
Teden Mengi,eng ENG,DF,17,0.1,0,0,0,0,0,0,0,10,0,0,0,0,3,10,0,100,Matches
Ethan Galbraith,nir NIR,FW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
