Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Harry Maguire,eng ENG,DF,26,53,53,"4,750",3,2,0,0,7,0,0.06,0.04,0.09,0.06,0.09,2.3,2.3,0.5,0.05,0.01,0.06,0.05,0.06,Matches
Victor Lindelöf,se SWE,DF,25,45,45,"3,967",1,1,0,0,6,0,0.02,0.02,0.05,0.02,0.05,0.4,0.4,0.4,0.01,0.01,0.02,0.01,0.02,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,44,43,"3,867",0,4,0,0,9,0,0,0.09,0.09,0,0.09,0.9,0.9,3.1,0.03,0.09,0.11,0.03,0.11,Matches
David de Gea,es ESP,GK,28,42,42,"3,780",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fred,br BRA,MF,26,46,37,"3,417",2,4,0,0,12,0,0.05,0.11,0.16,0.05,0.16,3,3,3.3,0.1,0.11,0.21,0.1,0.21,Matches
Anthony Martial,fr FRA,FW,23,46,39,"3,343",23,9,1,2,1,0,0.62,0.24,0.86,0.59,0.83,13.5,11.9,4.4,0.42,0.14,0.55,0.37,0.51,Matches
Marcus Rashford,eng ENG,FW,21,42,37,"3,261",22,9,7,9,3,0,0.61,0.25,0.86,0.41,0.66,20,14,5.2,0.63,0.16,0.79,0.44,0.6,Matches
Daniel James,wal WAL,FW,21,45,35,"3,024",4,6,0,0,4,0,0.12,0.18,0.3,0.12,0.3,4.1,4.1,4.3,0.14,0.15,0.29,0.14,0.29,Matches
Luke Shaw,eng ENG,DF,24,33,29,"2,521",1,2,0,0,9,0,0.04,0.07,0.11,0.04,0.11,0.6,0.6,1.7,0.03,0.07,0.1,0.03,0.1,Matches
Nemanja Mati?,rs SRB,MF,30,33,28,"2,509",1,3,0,0,5,1,0.04,0.11,0.14,0.04,0.14,0.3,0.3,1.3,0.01,0.06,0.07,0.01,0.07,Matches
Scott McTominay,sco SCO,MF,22,36,28,"2,452",5,1,0,0,4,0,0.18,0.04,0.22,0.18,0.22,2,2,1.1,0.08,0.05,0.13,0.08,0.13,Matches
Mason Greenwood,eng ENG,FW,17,47,24,"2,452",17,3,1,1,0,0,0.62,0.11,0.73,0.59,0.7,5.3,5.3,1.4,0.27,0.07,0.34,0.27,0.34,Matches
Andreas Pereira,br BRA,"FW,MF",23,40,25,"2,298",2,4,0,0,4,0,0.08,0.16,0.23,0.08,0.23,2.6,2.6,4.2,0.14,0.22,0.36,0.14,0.36,Matches
Brandon Williams,eng ENG,DF,18,34,23,"2,267",1,0,0,0,9,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.6,0.05,0.03,0.08,0.05,0.08,Matches
Juan Mata,es ESP,"MF,FW",31,35,21,"1,942",3,7,1,1,1,0,0.14,0.32,0.46,0.09,0.42,3.5,2.7,4.9,0.21,0.3,0.5,0.16,0.46,Matches
Jesse Lingard,eng ENG,"MF,FW",26,39,20,"1,887",4,2,0,0,5,0,0.19,0.1,0.29,0.19,0.29,4.2,4.2,1.9,0.28,0.13,0.41,0.28,0.41,Matches
Bruno Fernandes,pt POR,MF,24,20,19,"1,613",10,8,6,6,3,0,0.56,0.45,1,0.22,0.67,7.2,3.4,3.3,0.48,0.22,0.7,0.23,0.45,Matches
Sergio Romero,ar ARG,GK,32,16,16,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Paul Pogba,fr FRA,MF,26,20,14,"1,431",1,3,0,1,2,0,0.06,0.19,0.25,0.06,0.25,1.9,1.1,2.6,0.14,0.19,0.33,0.08,0.28,Matches
Ashley Young,eng ENG,DF,34,18,14,"1,316",1,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,0.3,0.3,1.6,0.02,0.13,0.15,0.02,0.15,Matches
Marcos Rojo,ar ARG,DF,29,9,7,679,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.03,0.07,0.1,0.03,0.1,Matches
Eric Bailly,ci CIV,DF,25,10,7,649,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
Axel Tuanzebe,eng ENG,DF,21,10,7,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Odion Ighalo,ng NGA,FW,30,18,5,611,5,1,0,0,0,0,0.74,0.15,0.88,0.74,0.88,3.6,3.6,0.6,0.84,0.14,0.98,0.84,0.98,Matches
Diogo Dalot,pt POR,DF,20,11,7,578,1,0,0,0,1,0,0.16,0,0.16,0.16,0.16,0.4,0.4,0.2,0.12,0.05,0.17,0.12,0.17,Matches
Phil Jones,eng ENG,DF,27,8,7,563,1,0,0,0,2,0,0.16,0,0.16,0.16,0.16,0.2,0.2,0,0.04,0.01,0.05,0.04,0.05,Matches
Tahith Chong,nl NED,FW,19,12,4,469,0,2,0,0,0,0,0,0.38,0.38,0,0.38,0.9,0.9,0.2,0.3,0.06,0.36,0.3,0.36,Matches
James Garner,eng ENG,MF,18,6,3,317,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03,Matches
Angel Gomes,eng ENG,"FW,MF",18,6,3,293,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.6,0.17,0.2,0.37,0.17,0.37,Matches
Timothy Fosu-Mensah,nl NED,DF,21,5,3,231,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.06,0.05,0.11,0.06,0.11,Matches
Ethan Laird,eng ENG,DF,18,2,1,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,Matches
Dylan Levitt,wal WAL,MF,18,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.03,0.08,0.11,0.03,0.11,Matches
Lee Grant,eng ENG,GK,36,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Di'Shon Bernard,eng ENG,DF,18,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
D'Mani Bughail-Mellor,eng ENG,FW,18,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Largie Ramazani,be BEL,MF,18,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Teden Mengi,eng ENG,DF,17,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ethan Galbraith,nir NIR,FW,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Max Taylor,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Arnau Puigmal,es ESP,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Matej Kovar,cz CZE,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
